Nome da campanha,Nome do conjunto de anúncios,Anúncios,Status de veiculação,Nível de veiculação,Configuração de atribuição,Tipo de resultado,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Classificação da taxa de engajamento,Classificação da taxa de conversão,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|05-06-AUTOMEDICACAO-IG,CARROSSEL|HABITOS|05-06-AUTOMEDICACAO-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,1519381,1519381,1541370,2.04,–,–,–,3100.00,1.01447234,252,12.3015873,251,0.01651989,3.52673493,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|23-06-DIA-DO-YOGA-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,857088,857088,870197,2.57,–,–,–,2200.00,1.01529481,191,11.51832461,190,0.02216809,4.11985019,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|23-06-DIA-DO-YOGA-IG,CARROSSEL|HABITOS|23-06-DIA-DO-YOGA-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,857088,857088,870197,2.57,–,–,–,2200.00,1.01529481,191,11.51832461,190,0.02216809,4.11985019,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|27-06-LUIZA-ZAIDAN-MAIONESE-TEMPERADA-STORY-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,836244,836244,847233,2.39,–,–,–,2000.00,1.0131409,643,3.11041991,643,0.07689143,2.3923445,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|27-06-LUIZA-ZAIDAN-MAIONESE-TEMPERADA-STORY-IG,VIDEO|HABITOS|27-06-LUIZA-ZAIDAN-MAIONESE-TEMPERADA-STORY-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,836244,836244,847233,2.39,–,–,–,2000.00,1.0131409,643,3.11041991,643,0.07689143,2.3923445,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|17-06-FEBRE-MACULOSA-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,791534,791534,791534,2.15,–,–,–,1700.00,1,260,6.53846154,254,0.03208959,2.88624788,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|IDENTIFICACAO|17-06-FEBRE-MACULOSA-IG,CARROSSEL|HABITOS|17-06-FEBRE-MACULOSA-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,791534,791534,791534,2.15,–,–,–,1700.00,1,260,6.53846154,254,0.03208959,2.88624788,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|08-06-THAISA-LEAL-BOMBOM-FIT-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,795405,795405,797410,1.66,–,–,–,1320.00,1.00252073,252,5.23809524,250,0.03143053,2.48120301,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|08-06-THAISA-LEAL-BOMBOM-FIT-IG,VIDEO|HABITOS|08-06-THAISA-LEAL-BOMBOM-FIT-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,795405,795405,797410,1.66,–,–,–,1320.00,1.00252073,252,5.23809524,250,0.03143053,2.48120301,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-STORY-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,724855,724855,729014,1.82,–,–,–,1320.00,1.0057377,494,2.67206478,493,0.0680136,2.05607477,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-STORY-IG,VIDEO|HABITOS|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-STORY-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,724855,724855,729014,1.82,–,–,–,1320.00,1.0057377,494,2.67206478,493,0.0680136,2.05607477,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,607267,607267,607267,1.98,–,–,–,1200.00,1,160,7.5,160,0.02634755,2.83687943,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-IG,VIDEO|HABITOS|21-06-LUIZA-ZAIDAN-PACOCA-SAUDAVEL-IG,inactive,ad,Clique de 7 dias ou visualização de 1 dia,Alcance,607267,607267,607267,1.98,–,–,–,1200.00,1,160,7.5,160,0.02634755,2.83687943,,,2023-06-01,2023-11-30
BINDER|FACEBOOK|BRANDING|PROJETOS|ALCANCE|MUDE1HABITO|2023-JUNHO,GERAL|PRIMEIRO-PASSO|01-06-THIAGO-SODRE-HAMBURGUER-IG,All,completed,adset,Clique de 7 dias ou visualização de 1 dia,Alcance,358017,358017,359480,2.85,–,–,–,1020.00,1.0040864,186,5.48387097,184,0.05139421,2.46973366,,,2023-06-01,2023-11-30
