Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
2023-JUNHO-28,completed,231744.0,231744,235644,2.59,–,600.0,1.01682891,6.0,100.0,6.0,0.00258906,1.22199593,,,2023-06-01,2023-11-30
2023-JUNHO-29,inactive,231744.0,231744,235644,2.59,–,600.0,1.01682891,6.0,100.0,6.0,0.00258906,1.22199593,,,2023-06-01,2023-11-30
2023-JUNHO-30,completed,313920.0,313920,326994,1.91,–,600.0,1.04164755,3.0,200.0,3.0,0.00095566,0.98199673,,,2023-06-01,2023-11-30
2023-JUNHO-31,inactive,313920.0,313920,326994,1.91,–,600.0,1.04164755,3.0,200.0,3.0,0.00095566,0.98199673,,,2023-06-01,2023-11-30
2023-JUNHO-32,completed,319355.0,319355,319677,1.88,–,600.0,1.00100828,76.0,7.89473684,76.0,0.02379797,3.20855615,,,2023-06-01,2023-11-30
2023-JUNHO-33,inactive,319355.0,319355,319677,1.88,–,600.0,1.00100828,76.0,7.89473684,76.0,0.02379797,3.20855615,,,2023-06-01,2023-11-30
2023-JUNHO-34,completed,398657.0,398657,402174,1.36,–,543.05,1.00882212,85.0,6.38882353,85.0,0.02132159,2.58595238,,,2023-06-01,2023-11-30
2023-JUNHO-35,inactive,398657.0,398657,402174,1.36,–,543.05,1.00882212,85.0,6.38882353,85.0,0.02132159,2.58595238,,,2023-06-01,2023-11-30
2023-JUNHO-36,completed,221245.0,221245,222531,2.44,–,540.0,1.00581256,1.0,540.0,1.0,0.00045199,1.25290023,,,2023-06-01,2023-11-30
2023-JUNHO-37,inactive,221245.0,221245,222531,2.44,–,540.0,1.00581256,1.0,540.0,1.0,0.00045199,1.25290023,,,2023-06-01,2023-11-30
2023-JUNHO-38,completed,252225.0,252225,260349,2.14,–,540.0,1.03220934,,,,,0.8723748,,,2023-06-01,2023-11-30
2023-JUNHO-39,inactive,252225.0,252225,260349,2.14,–,540.0,1.03220934,,,,,0.8723748,,,2023-06-01,2023-11-30
2023-JUNHO-40,completed,340736.0,340736,346726,1.41,–,480.0,1.01757959,3.0,160.0,3.0,0.00088045,0.28503563,,,2023-06-01,2023-11-30
2023-JUNHO-41,inactive,340736.0,340736,346726,1.41,–,480.0,1.01757959,3.0,160.0,3.0,0.00088045,0.28503563,,,2023-06-01,2023-11-30
2023-JUNHO-42,completed,221120.0,221120,225987,2.17,–,480.0,1.02201067,3.0,160.0,3.0,0.00135673,0.94117647,,,2023-06-01,2023-11-30
2023-JUNHO-43,inactive,221120.0,221120,225987,2.17,–,480.0,1.02201067,3.0,160.0,3.0,0.00135673,0.94117647,,,2023-06-01,2023-11-30
2023-JUNHO-44,completed,218557.0,218557,224591,2.16,–,471.0,1.02760836,1.0,471.0,1.0,0.00045755,0.73136646,,,2023-06-01,2023-11-30
2023-JUNHO-45,inactive,218557.0,218557,224591,2.16,–,471.0,1.02760836,1.0,471.0,1.0,0.00045755,0.73136646,,,2023-06-01,2023-11-30
2023-JUNHO-46,completed,219583.0,219583,219808,2.14,–,471.0,1.00102467,1.0,471.0,1.0,0.00045541,0.8579235,,,2023-06-01,2023-11-30
2023-JUNHO-47,inactive,219583.0,219583,219808,2.14,–,471.0,1.00102467,1.0,471.0,1.0,0.00045541,0.8579235,,,2023-06-01,2023-11-30
2023-JUNHO-48,completed,347968.0,347968,354559,1.35,–,471.0,1.0189414,,,,,0.46449704,,,2023-06-01,2023-11-30
2023-JUNHO-49,inactive,347968.0,347968,354559,1.35,–,471.0,1.0189414,,,,,0.46449704,,,2023-06-01,2023-11-30
2023-JUNHO-50,completed,234941.0,234941,241136,1.99,–,468.0,1.02636832,28.0,16.71428571,28.0,0.01191789,0.87640449,,,2023-06-01,2023-11-30
2023-JUNHO-51,inactive,234941.0,234941,241136,1.99,–,468.0,1.02636832,28.0,16.71428571,28.0,0.01191789,0.87640449,,,2023-06-01,2023-11-30
2023-JUNHO-52,completed,138492.0,138492,138492,3.15,–,436.08,1.0,41.0,10.63609756,41.0,0.0296046,4.5425,,,2023-06-01,2023-11-30
2023-JUNHO-53,inactive,138492.0,138492,138492,3.15,–,436.08,1.0,41.0,10.63609756,41.0,0.0296046,4.5425,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-11,inactive,32771.0,1141141,4720640,0.68,–,22365.31,4.13677188,32771.0,0.68247261,30832.0,2.70185718,0.62167306,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-12,inactive,25691.0,958382,3717681,0.58,–,14868.34,3.87912231,25691.0,0.5787373,24712.0,2.57851253,0.52754542,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-13,inactive,9632.0,458617,1283934,0.62,Na média,5962.87,2.79957786,9632.0,0.61906873,9308.0,2.02958024,0.59355664,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-14,inactive,5009.0,328506,728728,0.59,Na média,2970.6,2.21830956,5009.0,0.59305251,4860.0,1.47942503,0.54646799,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-15,not_delivering,6830.0,298523,958581,1.06,–,7210.22,3.21107921,6830.0,1.05566911,6536.0,2.18944604,0.9293916,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-16,inactive,2554.0,127964,262526,1.11,Abaixo da média – 35% mais baixos dos anúncios,2827.08,2.05156138,2554.0,1.10692247,2512.0,1.96305211,1.05606276,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-17,inactive,706.0,46581,77320,0.94,Na média,662.77,1.65990425,706.0,0.93876771,694.0,1.48987785,0.88487316,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-18,not_delivering,250.0,11463,44378,1.15,–,286.75,3.87141237,250.0,1.147,230.0,2.00645555,0.99912892,,,2023-06-01,2023-11-30
SAUDE-PME-10%-DESCONTO-19,inactive,86.0,5138,11367,1.14,Na média,98.24,2.21233943,86.0,1.14232558,81.0,1.57648891,1.07956044,,,2023-06-01,2023-11-30
